"","run_ID","p","c1","c2","fertilizer subsidy (%)","land area (ha)","yield (kg/ha)","production (kg)","Nfert (kg/ha)","Nuse (kg)","cluster"
"59","8853a211-88d1-43f0-a716-2e1c9c18ee7f",-50,40,40,-40,20043.68,4762.68,95461597.93,85.43,1712244.73,0
"60","4786e222-2bda-4c8c-8b89-0f0411cc6ee2",-50,40,50,-50,19374.14,4852.6,94015030.1,83.19,1611680.52,0
"61","e73fe1de-0816-4f23-bc0c-da3d2e45b068",-50,50,-20,20,21589.76,4789.41,103402157.86,115.45,2492634.67,0
"62","11c240c0-9643-40f7-831f-3c58d733301c",-50,50,-10,10,20639.06,4909.69,101331435.42,111.07,2292369.08,0
"63","50c2e518-fde4-47a5-95e5-27e5b49776b7",-50,50,0,0,19782.12,5025.71,99419180.58,107.14,2119514.61,0
"64","5a3bde85-b355-45a8-be58-9ab8fb384da8",-40,50,0,0,25540.77,4191.1,107043816.98,107.03,2733710.32,0
"65","83850f6c-d3d9-4067-9cab-55cd076ebf77",-50,50,10,-10,19004.93,5137.87,97644877.05,103.6,1968933.37,0
"66","443f8611-4079-4865-8557-aece36ecaea6",-40,50,10,-10,24540.99,4284.29,105140835.44,103.51,2540263.29,0
"67","ce6a99d8-c702-42e1-9cbd-8572d2b2ee8f",-50,50,20,-20,18296.23,5246.52,95991620.47,100.39,1836680.48,0
"68","9ac1f696-a6ef-4f5a-8c3f-ecae47b3a0d8",-50,50,30,-30,17646.83,5351.97,94445336.68,97.45,1719679.81,0
"69","4b147aed-3a72-46be-8713-53439790814d",-40,50,30,-30,22792.4,4462.3,101706497.63,97.39,2219690.44,0
"70","a0197617-d42c-4657-a3eb-0405139fcfb5",-50,50,40,-40,17049.16,5454.47,92994196.35,94.76,1615499.18,0
"71","7e709544-25b4-4276-af21-12865c86c016",-50,50,50,-50,16496.91,5554.26,91628170.83,92.27,1522191.59,0
"72","6a47697a-817b-4542-b3c2-2a73b05aaf66",-50,40,-50,50,61015.59,2051.81,125192181.79,157.02,9580643.45,0
"73","63fa38c7-328c-459f-be30-919664b6b6b1",-50,40,0,0,38004.84,2593.89,98580408.4,91.41,3473997.14,0
"74","6dc879dc-49be-4a7c-8df1-19f21ea1b5b4",-50,40,10,-10,35576.59,2680.04,95346692.84,85.7,3049055.17,0
"75","8e7c6314-26e9-47b3-bb22-605769729f42",-50,40,20,-20,33490.37,2761.39,92479912.84,80.93,2710469.62,0
"76","c946615b-1b47-4505-b5a4-52a91ff1ab2b",-50,40,50,-50,28655.88,2982.82,85475266.12,70.28,2013916.24,0
"77","a8a641d8-ab77-4588-9efa-5ecb74d55066",-50,50,-50,50,48278.54,2429.12,117274462.11,176.25,8508903.25,0
"78","6aa7b64f-3aba-4916-ad62-e4936c2b9f32",-40,50,-50,50,62570.81,2040.4,127669660.82,172.17,10773033.06,0
"79","3cfca54f-3556-4601-974d-8bafc72739dc",-50,50,-40,40,42927.51,2574.69,110524904.86,149.97,6437997.51,0
"80","3623a3c8-0623-42fd-bd5c-a036c6c7ac04",-50,50,-30,30,38818.84,2706.2,105051658.27,132.15,5129787.93,0
"81","c6742597-ba4d-4b86-a8eb-f4f4f747ea0e",-50,50,0,0,30720.95,3038.46,93344482.86,101.59,3121051.34,0
"82","6f445b7a-878f-4949-a3cd-041f064825a7",-50,50,10,-10,28850.21,3134.42,90428609.07,95.23,2747407.5,0
"83","b9580284-507a-40be-aaee-061c60df4edd",-40,50,10,-10,37918.59,2614.77,99148414.46,95.05,3604048.9,0
"84","d9a1d5e5-7de8-4189-a2f6-ffdfe0d0342a",-50,50,20,-20,27236.78,3224.96,87837570.33,89.91,2448981.97,0
"85","57b0e7aa-ea8a-4276-9144-14f25a1478f0",-40,50,20,-20,35811.42,2689.81,96325850.99,89.78,3215157.32,0
"86","87d494bf-30c0-49fc-8cbf-27a01e336fa9",-50,50,30,-30,25827.2,3310.89,85510934.2,85.39,2205402.87,0
"87","8be27a27-d879-418f-904b-7f659edf1e59",-40,50,30,-30,33967.53,2761.1,93787604.42,85.29,2897068.33,0
"88","563a0b0b-ed40-49a2-8b90-5f1409d31bd0",-50,50,40,-40,24582.35,3392.81,83403306.16,81.48,2003005.81,0
"89","60387c64-881f-4a30-8481-df375b726dca",-50,50,50,-50,23472.84,3471.24,81479808.73,78.06,1832294.81,0
"90","56354028-bb73-4629-b790-5da809b7c48e",-20,20,50,-50,128347.09,4250.1,545488392.01,73.9,9485154.37,0
"91","c0936173-0e59-4f2c-8a00-74860f0fe242",-10,20,50,-50,128347.09,4250.1,545488392.01,73.9,9485154.37,0
"92","c20561cf-b571-46c6-be62-d2ee9fdf1fe4",-20,30,20,-20,125394.93,4500.46,564334409.79,108.45,13599126.38,0
"93","1c9a7a82-6cb0-4cc6-9892-8ad094c6d57e",-10,30,20,-20,125394.93,4500.46,564334409.79,108.45,13599126.38,0
"94","11737814-81a8-446f-9336-beeb51ddeee8",-20,30,50,-50,103997.46,5083.58,528679203.63,83.43,8676610.31,0
"95","7ce2df9b-e6c0-473d-98c8-996d360d6ceb",-10,30,50,-50,103997.46,5083.58,528679203.63,83.43,8676610.31,0
"96","39d68a8c-78d7-4f30-8dbb-9eb5686ffddf",-20,50,-30,30,130016.03,4667.4,606836954.17,279.84,36383452.5,0
"97","fa121b54-ae0a-43e5-be3c-4ffc171e9c5f",-10,50,-30,30,130016.03,4667.4,606836954.17,279.84,36383452.5,0
"98","c6755007-c8d2-4754-b74d-d0c9ea87cb5c",-20,50,-20,20,123383.87,4833.94,596430416.11,247.3,30513288.56,0
"99","4a83c460-6541-430c-894a-7f3e508e3a99",-10,50,-20,20,123383.87,4833.94,596430416.11,247.3,30513288.56,0
"100","3c402dd8-a3ac-4cc9-b373-6eb0b54cb904",-20,50,-10,10,114353.8,5083.27,581291284.42,208.36,23827289,0
"101","8b933f1e-4d81-4d55-b9de-2cec58aeef1b",-10,50,-10,10,114353.8,5083.27,581291284.42,208.36,23827289,0
